notice_number,recipient's_name,notice_type,issue_date,local_authority,main_activity,cytora_ingest_ts
312437424,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438034,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438060,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438085,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438094,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438144,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438150,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312438211,Norframe Ltd,Improvement Notice,09/04/2022,Aberdeenshire UA,OTHER MANUFACTURING NEC,2022-05-20 13:28:29.159566
312423141,AEB PRECISION LIMITED,Improvement Notice,08/04/2022,Liverpool,MANUFACTURE OF TOOLS,2022-05-20 13:28:29.159566
312424052,B Allsop Limited,Improvement Notice,08/04/2022,Kirklees,MACHINING,2022-05-20 13:28:29.159566
312424118,B Allsop Limited,Improvement Notice,08/04/2022,Kirklees,MACHINING,2022-05-20 13:28:29.863014
312424145,B Allsop Limited,Improvement Notice,08/04/2022,Kirklees,MACHINING,2022-05-20 13:28:29.863014
312424189,B Allsop Limited,Improvement Notice,08/04/2022,Kirklees,MACHINING,2022-05-20 13:28:29.863014
312424541,LA Lightbars Ltd,Improvement Notice,08/04/2022,Boston,RTL MTR VEHICLE PART/ACCESSORY,2022-05-20 13:28:29.863014
312424720,Stable Fabrication Limited,Improvement Notice,08/04/2022,West Northamptonshire,MOTOR VEHICLE PARTS/ACCESSORY,2022-05-20 13:28:29.863014
312424753,Stable Fabrication Limited,Improvement Notice,08/04/2022,West Northamptonshire,MOTOR VEHICLE PARTS/ACCESSORY,2022-05-20 13:28:29.863014
312425497,Claremont Designs Ltd,Improvement Notice,08/04/2022,Brighton & Hove UA,MF OF KITCHEN FURNITURE,2022-05-20 13:28:29.863014
312430481,Constant Group Ltd,Improvement Notice,08/04/2022,Oldham,MF FABRICATED METAL PROD NEC,2022-05-20 13:28:29.863014
312430520,Constant Group Ltd,Improvement Notice,08/04/2022,Oldham,MF FABRICATED METAL PROD NEC,2022-05-20 13:28:29.863014
312430544,Constant Group Ltd,Improvement Notice,08/04/2022,Oldham,MF FABRICATED METAL PROD NEC,2022-05-20 13:28:29.863014
