notice_number,recipient_name,served_date,notice_type,description,compliance_date,revised_compliance_date,result,address,region,local_authority,industry,main_activity,type_of_location,hse_group,hse_directorate,hse_area,hse_division,cytora_ingest_ts
312437424,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:25.482910
312438034,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:25.695794
312438060,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:25.908772
312438085,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:26.129180
312438094,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:26.361059
312438144,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:26.657066
312438150,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:26.881484
312438211,Norframe Ltd,09/04/2022,Improvement Notice,"INSJD070422.1-312437424
You as an employer are carrying out work which is liable to expose your employees to a substance hazardous to health, namely wood dust, and have failed to make a suitable and sufficient assessment of the risks created by your employees’ exposure to wood dust or to identify and implement the steps necessary to meet the requirements of the COSHH regulations 2002 (as amended).

INSJD070422.2-312438034
You have failed to ensure that engineering controls, namely the Local Exhaust Ventilation installed on the Cross Saw and the circular saw, are of a suitable design to provide adequate control of exposure to a substance hazardous to health, namely wood dust.

INSJD070422.3-312438060
You have failed to provide persons exposed to wood dust with suitable and adequate respiratory protective equipment such that exposure is adequately controlled.

INSJD070422.4-312438085
You have failed to provide health surveillance to employees who are, or are liable to be, exposed to substances hazardous to health, namely wood dust which is known to cause asthma, dermatitis and, in the case of hardwood, cancer.

INSJD070422.5-312438094
You have failed to ensure that the circular saw located in your workshop is provided with one or more controls, namely a braking device, the operation of which will bring the work equipment to a safe condition in a safe manner.

INSJD070422.6-312438144
You have failed to ensure the compressor and air receiver in your workshop, which exceeds 250 bar litres, has been subject to examination by a competent person under a written scheme of examination.

INSJD070422.7-312438150
You have failed to make a written risk assessment of the insulation filling process carried out using the Insulation Blowing Panel at the above premises.

INSJD070422.8-312438211
You have failed to ensure that sanitary conveniences and washing facilities are suitable and sufficient and that washing facilities include a supply of clean hot or warm water.",27/05/2022,,Ongoing,"Mill Of Allathan, Udny, Ellon/NORFRAME LTDMill of AllathanUdnyELLONAberdeenshireAB41 7PRScotland",Scotland,Aberdeenshire UA,Manufacturing,32990 - OTHER MANUFACTURING NEC,Fixed,FODOP1GP1,Field Operations Division,,Scotland,2022-05-20 17:46:27.150821
312423141,AEB PRECISION LIMITED,08/04/2022,Improvement Notice,"1 x improvement notice - IN/GP8/080422/TJD/01 (312423141) - You have failed to prevent, or adequately control, your employees' exposure to a substance hazardous to health, namely metalworking fluid mist. You are therefore not ensuring, so far as is reasonably practicable, the health, safety and welfare of your employees.",11/07/2022,,Ongoing,Cusson Road/AEB PRECISION LIMIAbacus Engineering Supplies LtUnit 2Cusson RoadLIVERPOOLL33 7BYEngland,North West,Liverpool,Manufacturing,25730 - MANUFACTURE OF TOOLS,Fixed,FODOP2GP8,Field Operations Division,,North West,2022-05-20 17:46:27.392006
312424052,B Allsop Limited,08/04/2022,Improvement Notice,"B Allsop Limited - 4 x INs served re HSWA, COSHH, DSEAR

312424052
1/Allsop/150322/DT/1
you are undertaking Metal Inert Gas (MIG) welding and are failing to adequately control your employee's exposure to the resultant welding fume.

312424118
1/Allsop/150322/DT/2
you have failed to undertake a suitable and sufficient assessment of the risk of exposure to the Legionella family of bacteria in the tunnel wash section of the powder coating plant, which may result in employees developing legionnaire's disease or other ill health effects.

312424145
1/Allsop/150322/DT/3
you have failed to undertake a suitable and sufficient risk assessment of the potential for an explosive atmosphere to be created within the powder coating process.

312424189
1/Allsop/150322/DT/4
you have failed to undertake thorough examination of the respiratory protective equipment used by the powder coaters.",04/11/2022,,Ongoing,"Hope Bank Works/B Allsop LimitHope Bank Works, New Mill RoadHonleyHUDDERSFIELDWest YorkshireHD9 6QGEngland",Yorks & North East,Kirklees,Manufacturing,25620 - MACHINING,Fixed,FODSG2OHYG,Field Operations Division,,Yorkshire and Humber,2022-05-20 17:46:27.642715
